"","ICD code","freq ICU","freq no-ICU","freq TITCO","propICUvsnoICU"
"44","t07",39,27,73,1.44444444444444
"62","s32.4",21,15,35,1.4
"50","s32.1",32,23,51,1.39130434782609
"51","s32.5",32,23,51,1.39130434782609
"42","s22.3",43,31,78,1.38709677419355
"48","t14.2",33,24,58,1.375
"38","s22.1",50,37,92,1.35135135135135
"45","s42.0",35,26,71,1.34615384615385
"41","s19.9",43,32,82,1.34375
"43","s02.0,s02.1",40,30,78,1.33333333333333
"49","s27.9",32,24,57,1.33333333333333
"58","s39.9",24,18,43,1.33333333333333
"80","s36.5",8,6,14,1.33333333333333
"81","s42.7",8,6,14,1.33333333333333
"82","t08",8,6,13,1.33333333333333
"110","s72.1",4,3,7,1.33333333333333
"111","t09.3",4,3,7,1.33333333333333
"47","s32.3",33,25,58,1.32
"46","s27.2",34,26,61,1.30769230769231
"52","t79.9",30,23,50,1.30434782608696
"54","s22.5",26,20,48,1.3
"39","s32.0",48,37,85,1.2972972972973
"60","s36.2",22,17,37,1.29411764705882
"40","s42.1",45,35,83,1.28571428571429
"63","t79.7",18,14,32,1.28571428571429
"59","s06.3,s06.1",23,18,42,1.27777777777778
"10","s06.1",323,253,509,1.27667984189723
"56","s02.9",24,19,47,1.26315789473684
"57","s27.0,s27.0",24,19,46,1.26315789473684
"55","s29.9",25,20,48,1.25
"68","s36.4",15,12,25,1.25
"96","s02.0, s06.3",5,4,10,1.25
"97","s19.7",5,4,10,1.25
"98","s19.8",5,4,10,1.25
"99","s27.6",5,4,9,1.25
"100","s29.7",5,4,9,1.25
"101","s33.2",5,4,9,1.25
"102","s72.9",5,4,9,1.25
"103","s85.0",5,4,9,1.25
"12","s36.8",228,184,480,1.23913043478261
"61","s06.3, s06.1",21,17,36,1.23529411764706
"66","s37.8",16,13,26,1.23076923076923
"53","s27.1,s27.1",27,22,50,1.22727272727273
"37","s12.7",51,42,95,1.21428571428571
"35","s09.9",53,44,103,1.20454545454545
"87","s00.1",6,5,12,1.2
"88","s06.3, s06.6",6,5,12,1.2
"89","s27.5",6,5,11,1.2
"90","s32.8",6,5,11,1.2
"91","s33.3",6,5,11,1.2
"92","s35.5",6,5,10,1.2
