"","ICD code","freq ICU","freq no-ICU","freq TITCO","propICUvsnoICU"
"5","s01.0",605,318,1010,1.90251572327044
"3","s09.9",1017,591,1891,1.72081218274112
"7","s00.1",334,195,510,1.71282051282051
"6","999",356,211,573,1.68720379146919
"4","s00.8",688,457,1066,1.5054704595186
"11","s00.7",226,164,362,1.3780487804878
"9","s00.2",244,179,405,1.36312849162011
"8","s30.8",251,188,408,1.33510638297872
"2","s01.8",1285,974,2000,1.31930184804928
"10","s80.8",228,174,373,1.31034482758621
"13","s50.8",190,150,292,1.26666666666667
"12","s40.8",201,160,321,1.25625
"14","s01.1",177,149,269,1.18791946308725
"17","s31.1",143,130,242,1.1
"15","s90.8",152,143,265,1.06293706293706
"18","t14.1",134,130,231,1.03076923076923
"16","s60.8",145,142,245,1.02112676056338
"217","s82.3",3,3,8,1
"218","s85.0",3,3,8,1
"219","s90.9",3,3,8,1
"220","s98.1",3,3,8,1
"221","t00.0",3,3,8,1
"222","t01.8",3,3,8,1
"223","t05.5",3,3,8,1
"227","t21.0",3,3,7,1
"228","t31.4",3,3,7,1
"229","t31.9",3,3,7,1
"255","s38.2",2,2,6,1
"257","s42.4",2,2,6,1
"259","s47",2,2,6,1
"265","s57.9",2,2,5,1
"266","s58.9",2,2,5,1
"267","s68.2",2,2,5,1
"271","s73.0",2,2,5,1
"272","s75.0",2,2,5,1
"274","s92.3",2,2,5,1
"277","t01.1",2,2,5,1
"279","t11.4",2,2,4,1
"280","t22.0",2,2,4,1
"281","t23.0",2,2,4,1
"282","t29.0,t31.2",2,2,4,1
"283","t31.2",2,2,4,1
"284","t31.5",2,2,4,1
"322","s06.1",1,1,3,1
"324","s06.4",1,1,3,1
"331","s12.2, s13.1",1,1,3,1
"335","s13.0",1,1,2,1
"338","s19.8",1,1,2,1
"341","s21.0",1,1,2,1
"345","s21.7",1,1,2,1
"354","s27.1,s27.1",1,1,2,1
"358","s29.9,s39.9",1,1,2,1
"366","s31.1,s31.3",1,1,2,1
"369","s31.4",1,1,2,1
"370","s32.0",1,1,2,1
"373","s33.3",1,1,2,1
"374","s34.1",1,1,2,1
"379","s37.3",1,1,2,1
"381","s38.1",1,1,2,1
"382","s38.3",1,1,2,1
"389","s41.7",1,1,2,1
"391","s42.1",1,1,2,1
"395","s44.7",1,1,2,1
"409","s52.7, s51.9",1,1,2,1
"412","s55.0",1,1,1,1
"413","s55.1",1,1,1,1
"414","s57.0",1,1,1,1
"428","s70.0",1,1,1,1
"440","s78.0",1,1,1,1
"447","s82.1",1,1,1,1
"451","s87.0",1,1,1,1
"453","s88.9",1,1,1,1
"454","s90.1",1,1,1,1
"19","s00.0",119,126,203,0.944444444444444
"23","s71.1",108,121,193,0.892561983471074
"20","s01.7",111,125,202,0.888
"22","s70.8",109,124,194,0.879032258064516
"21","s01.5",109,125,202,0.872
"155","s88.0",6,7,15,0.857142857142857
"156","s91.7",6,7,15,0.857142857142857
"157","s98.0",6,7,15,0.857142857142857
"159","t04.3",6,7,15,0.857142857142857
"160","t11.8",6,7,14,0.857142857142857
"161","t14.7",6,7,14,0.857142857142857
"162","t29.0",6,7,14,0.857142857142857
"30","s00.1,s00.1",77,91,163,0.846153846153846
"29","s91.3",78,93,163,0.838709677419355
"166","s58.0",5,6,13,0.833333333333333
"167","s72.3",5,6,13,0.833333333333333
"168","s77.1",5,6,13,0.833333333333333
"169","s80.0",5,6,13,0.833333333333333
"170","s81.7",5,6,13,0.833333333333333
"171","s89.9",5,6,13,0.833333333333333
"172","s90.0",5,6,13,0.833333333333333
"174","t01.2",5,6,12,0.833333333333333
"27","s81.0",81,98,169,0.826530612244898
"31","s20.8",73,90,160,0.811111111111111
"28","s01.4",78,97,165,0.804123711340206
