"","ICD code","freq ICU","freq no-ICU","freq TITCO","propICUvsnoICU"
"3","s36.9",343,63,412,5.44444444444444
"4","s36.8",143,38,182,3.76315789473684
"14","t14.9",14,4,17,3.5
"11","s37.0",28,9,42,3.11111111111111
"7","s39.9",55,18,64,3.05555555555556
"15","t79.9",12,4,16,3
"10","s27.1",34,12,48,2.83333333333333
"6","s36.1",65,23,88,2.82608695652174
"8","s27.3",39,14,52,2.78571428571429
"5","s27.9",66,25,93,2.64
"9","s36.0",36,14,50,2.57142857142857
"13","s37.2",14,6,18,2.33333333333333
"31","s06.8",2,1,4,2
"32","s22.4",2,1,3,2
"12","s37.9",15,8,21,1.875
"18","s06.4",5,3,8,1.66666666666667
"19","s06.6",5,3,8,1.66666666666667
"20","s27.0",5,3,7,1.66666666666667
"16","s02.1",6,4,15,1.5
"23","s02.4",3,2,6,1.5
"25","s26.8",3,2,5,1.5
"26","t14.6",3,2,4,1.5
"22","s02.0",4,3,6,1.33333333333333
"17","s06.3",5,4,9,1.25
"27","s00.8",2,2,4,1
"28","s02.7",2,2,4,1
"29","s02.8",2,2,4,1
"38","s00.0",1,1,2,1
"40","s02.2",1,1,2,1
"41","s06.5",1,1,2,1
"46","s26.0",1,1,2,1
"48","s27.1,s27.1",1,1,2,1
"52","s31.1",1,1,1,1
"55","s32.7",1,1,1,1
"58","s36.4",1,1,1,1
"2","999",1110,1300,2426,0.853846153846154
"1","",56539,113526,170519,0.498026883709459
"21","t79.7",5,NA,6,NA
"24","s06.9",3,NA,5,NA
"30","s06.1",2,NA,4,NA
"33","s29.9",2,NA,3,NA
"34","s30.8",2,NA,2,NA
"35","s36.7",2,NA,2,NA
"36","t14.0",2,NA,2,NA
"37","t14.1",2,NA,2,NA
"39","s01.8",1,NA,2,NA
"42","s06.5,s06.9",1,NA,2,NA
"43","s20.8",1,NA,2,NA
"44","s21.1",1,NA,2,NA
"45","s22.1",1,NA,2,NA
"47","s26.0,s27.9",1,NA,2,NA
"49","s27.9,s27.3",1,NA,1,NA
"50","s30.1",1,NA,1,NA
"51","s30.9",1,NA,1,NA
"53","s31.3",1,NA,1,NA
"54","s32.5",1,NA,1,NA
"56","s32.8",1,NA,1,NA
"57","s36.1,s36.8",1,NA,1,NA
"59","s36.4,s36.5",1,NA,1,NA
"60","s36.8, s31.8",1,NA,1,NA
"61","s36.8, s36.0",1,NA,1,NA
"62","s36.8, s36.9",1,NA,1,NA
"63","s36.9, s31.8",1,NA,1,NA
"64","s37.7",1,NA,1,NA
"65","s39.0",1,NA,1,NA
"66","s42.0",1,NA,1,NA
"67","s50.8",1,NA,1,NA
"68","s52.8",1,NA,1,NA
"69","s70.0",1,NA,1,NA
"70","s70.1",1,NA,1,NA
"71","s70.8",1,NA,1,NA
"72","s76.0, s72.9",1,NA,1,NA
"73","s79.7",1,NA,1,NA
"74","s80.8,s90.8",1,NA,1,NA
"75","s81.0",1,NA,1,NA
"76","s85.0",1,NA,1,NA
"77","s90.8",1,NA,1,NA
"78","t08",1,NA,1,NA
"79","t09.1",1,NA,1,NA
"80","t14.1,t14.0",1,NA,1,NA
"81","t14.2",1,NA,1,NA
