"","ICD code","freq ICU","freq no-ICU","freq TITCO","propICUvsnoICU"
"2","999",833,92,880,9.05434782608696
"3","s36.8",217,46,315,4.71739130434783
"21","s31.1",15,5,18,3
"22","s06.8",14,5,17,2.8
"23","s39.9",14,5,16,2.8
"17","s37.0",19,7,28,2.71428571428571
"19","s36.2",16,6,23,2.66666666666667
"5","s36.9",94,37,117,2.54054054054054
"4","s36.4",95,38,143,2.5
"16","s02.0",19,8,30,2.375
"7","s36.5",53,23,76,2.30434782608696
"9","s36.1",47,21,57,2.23809523809524
"10","s06.5",44,20,56,2.2
"24","s27.8",11,5,16,2.2
"8","s06.4",49,23,67,2.1304347826087
"27","s35.5",8,4,15,2
"40","s06.6",4,2,6,2
"41","s09.0",4,2,6,2
"43","s27.1",4,2,6,2
"44","s37.3",4,2,6,2
"46","s75.1",4,2,6,2
"71","s35.2",2,1,3,2
"72","s35.3",2,1,3,2
"73","s35.8",2,1,3,2
"76","s45.1",2,1,3,2
"79","s72.9",2,1,3,2
"81","s76.4",2,1,3,2
"83","s80.8",2,1,3,2
"84","t11.4",2,1,3,2
"85","t14.6",2,1,3,2
"14","s06.3",23,12,34,1.91666666666667
"15","s36.3",21,11,34,1.90909090909091
"26","s31.8",9,5,15,1.8
"11","t14.1",30,17,55,1.76470588235294
"28","s36.7",7,4,13,1.75
"30","s39.0",7,4,11,1.75
"34","s02.0,s02.1",5,3,9,1.66666666666667
"36","s27.3",5,3,7,1.66666666666667
"37","s31.3",5,3,7,1.66666666666667
"38","s39.7",5,3,7,1.66666666666667
"13","s02.1",23,14,40,1.64285714285714
"6","s36.0",57,37,81,1.54054054054054
"12","s37.2",26,17,40,1.52941176470588
"31","s36.6",6,4,10,1.5
"32","t14.9",6,4,9,1.5
"50","s30.1",3,2,5,1.5
"51","s31.0",3,2,5,1.5
"54","s35.1",3,2,5,1.5
"55","s35.7",3,2,5,1.5
"57","s46.9",3,2,4,1.5
"58","t14.0",3,2,4,1.5
"59","t14.5",3,2,4,1.5
"61","s01.9",2,2,4,1
"62","s02.1,s02.0",2,2,4,1
"64","s11.0",2,2,4,1
"65","s11.1",2,2,4,1
"88","s00.1",1,1,2,1
"104","s10.9",1,1,2,1
"109","s15.0",1,1,2,1
"116","s27.0",1,1,2,1
"117","s27.1,s27.1",1,1,2,1
"119","s31.2",1,1,2,1
"1","",56559,114506,171515,0.493939182226259
"18","s09.9",17,NA,26,NA
"20","s06.9",15,NA,21,NA
"25","t14.2",11,NA,15,NA
"29","s37.9",7,NA,11,NA
"33","s01.0",5,NA,9,NA
"35","s26.9",5,NA,8,NA
"39","s06.1",4,NA,7,NA
"42","s22.0",4,NA,6,NA
"45","s75.0",4,NA,6,NA
"47","s02.8",3,NA,6,NA
"48","s02.9",3,NA,5,NA
"49","s09.7",3,NA,5,NA
"52","s31.1,s36.8",3,NA,5,NA
"53","s31.8, s36.8",3,NA,5,NA
"56","s40.9",3,NA,5,NA
"60","s01.8",2,NA,4,NA
"63","s06.4,s02.9",2,NA,4,NA
"66","s21.8",2,NA,4,NA
"67","s22.4",2,NA,4,NA
"68","s31.1, s36.8, s39.0",2,NA,4,NA
"69","s32.0",2,NA,3,NA
"70","s32.8",2,NA,3,NA
"74","s42.0",2,NA,3,NA
"75","s42.2",2,NA,3,NA
"77","s54.7",2,NA,3,NA
"78","s71.1",2,NA,3,NA
"80","s75.9",2,NA,3,NA
"82","s78.1",2,NA,3,NA
"86","t79.9",2,NA,3,NA
"87","s00.0,s02.0",1,NA,3,NA
"89","s00.9",1,NA,2,NA
"90","s01.9,s21.9,t11.1",1,NA,2,NA
"91","s02.0, s02.1",1,NA,2,NA
"92","s02.0,s02.1,s02.4",1,NA,2,NA
"93","s02.1, s02.0",1,NA,2,NA
"94","s02.1,s06.8",1,NA,2,NA
"95","s02.4",1,NA,2,NA
"96","s02.7",1,NA,2,NA
"97","s06.2",1,NA,2,NA
"98","s06.4, s22.0",1,NA,2,NA
"99","s06.4,s02.0",1,NA,2,NA
"100","s06.4,s06.5",1,NA,2,NA
"101","s06.5, s06.3",1,NA,2,NA
"102","s06.5,s06.3",1,NA,2,NA
"103","s06.8,s06.5",1,NA,2,NA
"105","s12.1",1,NA,2,NA
"106","s12.2",1,NA,2,NA
"107","s14.3",1,NA,2,NA
"108","s14.6",1,NA,2,NA
"110","s21.2",1,NA,2,NA
"111","s22.1",1,NA,2,NA
"112","s22.2",1,NA,2,NA
"113","s24.1",1,NA,2,NA
"114","s25.1",1,NA,2,NA
"115","s26.0",1,NA,2,NA
"118","s31.1, s36.8",1,NA,2,NA
"120","s31.4",1,NA,1,NA
"121","s31.7",1,NA,1,NA
"122","s32.1",1,NA,1,NA
"123","s32.7",1,NA,1,NA
"124","s33.3",1,NA,1,NA
"125","s35.4, s37.0",1,NA,1,NA
"126","s35.9",1,NA,1,NA
"127","s36.0,s27.8",1,NA,1,NA
"128","s36.1, s30.9",1,NA,1,NA
"129","s36.1,s36.4",1,NA,1,NA
"130","s36.3,s27.8",1,NA,1,NA
"131","s36.3,s36.3",1,NA,1,NA
"132","s36.4,s36.3",1,NA,1,NA
"133","s36.4,s36.8",1,NA,1,NA
"134","s36.5,s36.1",1,NA,1,NA
"135","s36.6,s36.5",1,NA,1,NA
"136","s36.8, s31.8",1,NA,1,NA
"137","s36.8, s39.0, s31.1",1,NA,1,NA
"138","s37.1",1,NA,1,NA
"139","s37.7",1,NA,1,NA
"140","s41.1,s46.2",1,NA,1,NA
"141","s41.8",1,NA,1,NA
"142","s42.1",1,NA,1,NA
"143","s45.0",1,NA,1,NA
"144","s45.3",1,NA,1,NA
"145","s45.7",1,NA,1,NA
"146","s46.3",1,NA,1,NA
"147","s48.1",1,NA,1,NA
"148","s51.8",1,NA,1,NA
"149","s54.0",1,NA,1,NA
"150","s54.1",1,NA,1,NA
"151","s68.9",1,NA,1,NA
"152","s69.7,s59.7",1,NA,1,NA
"153","s72.4",1,NA,1,NA
"154","s73.1",1,NA,1,NA
"155","s75.7",1,NA,1,NA
"156","s81.8",1,NA,1,NA
"157","s82.7",1,NA,1,NA
"158","s82.9",1,NA,1,NA
"159","s83.1",1,NA,1,NA
"160","s85.0",1,NA,1,NA
"161","s85.5",1,NA,1,NA
"162","s88.1",1,NA,1,NA
"163","s90.8",1,NA,1,NA
"164","s91.1",1,NA,1,NA
"165","s91.3",1,NA,1,NA
"166","s92.1,s67.8",1,NA,1,NA
"167","s97.8",1,NA,1,NA
"168","s98.4",1,NA,1,NA
"169","t00.1",1,NA,1,NA
"170","t01.3",1,NA,1,NA
"171","t02.3",1,NA,1,NA
"172","t02.9",1,NA,1,NA
"173","t05.5",1,NA,1,NA
"174","t08",1,NA,1,NA
"175","t13.8",1,NA,1,NA
"176","t14.7",1,NA,1,NA
