"","ICD code","freq ICU","freq no-ICU","freq TITCO","propICUvsnoICU"
"5","s72.3",117,104,221,1.125
"13","s82.7",65,58,112,1.12068965517241
"12","s32.3",66,59,119,1.11864406779661
"4","999",169,160,342,1.05625
"11","s27.1",66,63,130,1.04761904761905
"8","s32.5",89,85,169,1.04705882352941
"6","s32.7",104,100,204,1.04
"9","s42.3",83,80,148,1.0375
"14","s72.9",56,56,111,1
"38","s92.0",17,17,36,1
"39","t02.5",17,17,34,1
"67","s92.7",7,7,14,1
"68","t12",7,7,14,1
"106","s82.6",2,2,4,1
"107","s98.2",2,2,4,1
"108","t02.2",2,2,4,1
"123","s22.1",1,1,3,1
"127","s27.0,s27.0",1,1,2,1
"136","s33.1",1,1,2,1
"137","s33.4",1,1,2,1
"139","s36.1",1,1,2,1
"140","s39.7",1,1,2,1
"147","s52.1",1,1,2,1
"149","s62.2",1,1,2,1
"150","s63.0",1,1,2,1
"157","s82.9, s81.9",1,1,1,1
"159","s92.0,s92.0",1,1,1,1
"160","s92.4",1,1,1,1
"161","s92.5",1,1,1,1
"162","s93.0",1,1,1,1
"165","t02.8",1,1,1,1
"166","t09.9",1,1,1,1
"170","t14.3",1,1,1,1
"173","t79.7",1,1,1,1
"18","s82.1",40,42,87,0.952380952380952
"37","s52.8",17,18,37,0.944444444444444
"40","s52.9",16,17,31,0.941176470588235
"7","s22.3",90,96,186,0.9375
"19","t02.3",39,42,76,0.928571428571429
"10","s27.0",68,74,142,0.918918918918919
"17","s52.5",42,46,101,0.91304347826087
"2","s22.4",377,413,684,0.912832929782082
"58","s62.3",9,10,22,0.9
"36","s52.6",17,19,37,0.894736842105263
"60","s82.0",8,9,20,0.888888888888889
"16","s42.1",45,51,102,0.882352941176471
"41","s73.0",15,17,31,0.882352941176471
"43","s72.8",14,16,29,0.875
"66","s92.3",7,8,16,0.875
"69","t02.9",6,7,14,0.857142857142857
"29","s27.3",22,26,48,0.846153846153846
"30","t14.2",22,26,47,0.846153846153846
"49","s33.2",11,13,26,0.846153846153846
"26","s72.1",26,31,56,0.838709677419355
"15","s32.4",46,55,105,0.836363636363636
"27","s82.4",25,30,50,0.833333333333333
"50","s02.6",10,12,25,0.833333333333333
"51","s52.2",10,12,25,0.833333333333333
"52","s72.2",10,12,24,0.833333333333333
"53","s82.8",10,12,24,0.833333333333333
"72","s42.7",5,6,12,0.833333333333333
"73","s62.7",5,6,11,0.833333333333333
"74","s62.8",5,6,11,0.833333333333333
"75","s72.7",5,6,10,0.833333333333333
"76","t02.4",5,6,10,0.833333333333333
"33","s82.3",19,23,41,0.826086956521739
"42","s32.1",14,17,30,0.823529411764706
"34","s62.4",18,22,40,0.818181818181818
"35","s72.4",18,22,38,0.818181818181818
"54","s02.4",9,11,24,0.818181818181818
"55","s27.9",9,11,23,0.818181818181818
"56","s32.0",9,11,23,0.818181818181818
"57","s33.3",9,11,22,0.818181818181818
"44","s12.2",13,16,29,0.8125
"45","s13.1",13,16,29,0.8125
"46","s22.5",13,16,27,0.8125
"20","s82.9",34,42,70,0.80952380952381
"28","s82.2",24,30,49,0.8
"31","s52.0",20,25,43,0.8
"59","s27.2",8,10,21,0.8
"77","s02.1",4,5,10,0.8
"78","s06.5",4,5,10,0.8
"81","s36.9",4,5,9,0.8
"82","s82.5",4,5,9,0.8
"83","s92.9",4,5,8,0.8
"32","s72.0",19,24,42,0.791666666666667
"47","s22.0",11,14,26,0.785714285714286
"48","s32.8",11,14,26,0.785714285714286
"61","s12.7",7,9,18,0.777777777777778
"62","s52.3",7,9,18,0.777777777777778
"63","s52.4",7,9,16,0.777777777777778
